id,age,salary,department,years_experience,satisfaction_score,performance_rating,hours_per_week
1,28,55000,Engineering,3,7.2,3.5,42
2,35,78000,Engineering,8,8.1,4.2,45
3,42,92000,Management,15,6.8,3.8,50
4,25,48000,Marketing,2,7.5,3.2,38
5,31,65000,Engineering,6,8.5,4.5,44
6,38,85000,Management,12,7.0,4.0,48
7,29,52000,Marketing,4,6.5,3.0,40
8,45,105000,Engineering,20,8.8,4.8,46
9,33,71000,Sales,7,7.3,3.7,43
10,27,50000,Marketing,3,7.8,3.4,39
11,36,82000,Engineering,10,8.0,4.1,44
12,40,95000,Management,14,6.2,3.9,52
13,24,45000,Sales,1,8.2,3.1,37
14,30,62000,Engineering,5,7.6,3.6,41
15,34,75000,Sales,9,7.1,3.8,42
16,43,98000,Management,16,6.5,4.0,49
17,26,51000,Marketing,2,8.0,3.3,38
18,37,88000,Engineering,11,8.4,4.4,45
19,32,68000,Sales,6,7.4,3.5,41
20,29,58000,Engineering,4,7.9,3.7,43
21,41,96000,Management,13,6.0,3.8,51
22,23,42000,Marketing,1,8.6,3.0,36
23,35,76000,Engineering,9,8.3,4.3,44
24,39,90000,Sales,12,7.0,4.0,43
25,28,54000,Marketing,3,7.7,3.2,39
26,44,102000,Engineering,18,8.9,4.7,47
27,31,64000,Sales,5,7.2,3.6,42
28,36,80000,Management,11,6.7,3.9,50
29,27,49000,Marketing,2,8.1,3.1,37
30,33,72000,Engineering,7,8.0,4.0,44
